"gene_accession_id","gene_symbol","mouse_strain","mouse_life_stage","parameter_id","pvalue","parameter_name","analysis_id"
"0.899761","Phosphorus","Urb1","ESLIM_015_001_010","MGI:2146468",NA,"7238um26m6088e1","C57BL"
"MGI:2442910","Niban2","C57BL","Early adult","IMPC_GEP_004_002",-0.01385172,"Spontaneous movement","72b3188v4579yh6"
"72c0ttbd6p7u922","Eid3","Early adult","C57BL","IMPC_HEM_003_001",NA,"0.5549697","MGI:1913591"
"MGI:1925927","Rnf20","C57BL","E15.5","IMPC_CSD_039_001",-0.1704999,"Limb grasp","72jl7s335af67r5"
"MGI:2143539","Gls2","C57BL","Early adult","JAX_LDT_003_001",1.434958,"Time mobile light side","75m1pho264d3c0l"
"MGI:1196234","Ccdc69","C57BL","Early adult","IMPC_GEO_009_002",1.10995,"Hemorrhage","763211hn8w625dx"
"MGI:1925927","Rnf20","C57BL","E15.5","IMPC_EYE_092_002",1.181416,"Retina (combined)","764c434589b18br"
"MGI:2146468","Urb1","C57BL","Late adult","GMC_920_001_013",1.114428,"sTV-active","770j44i28chju42"
"MGI:2655333","Grhl3","C57BL","Early adult","IMPC_GEL_063_001",1.388653,"Delayed embryonic development","7771z5r4tks95mh"
"MGI:2441932","Prepl","C57BL","Early adult","IMPC_CBC_016_001",1.155375,"HDL-cholesterol","77o153vf26362l9"
"78t9m23y310yu16","MGI:2389177","Lrrtm3","Early adult","IMPC_GEO_009_002",NA,"1.497734","C57BL"
"MGI:107576","Sipa1","C57BL","Early adult","IMPC_GEP_038_001",1.292086,"Tail Morphology","78umxap0e3mh6d1"
"MGI:1918319","Stox2","C57BL","E18.5","ESLIM_013_001_001",1.378132,"Eye","7904u47kfn8ncf0"
"MGI:2146785","Gpsm3","C57BL","Early adult","IMPC_GEL_063_001",1.378106,"Delayed embryonic development","7961m1a30530rxx"
"Eid3","C57BL","Tail Morphology","Early adult","0.753625",NA,"79ick26a8o981p0","MGI:1913591"
"MGI:2389177","Lrrtm3","C57BL","Early adult","IMPC_ECH_011_001",1.349936,"LVIDs","7a837bu6qwo570k"
"MGI:1913591","Eid3","C57BL","Early adult","M-G-P_005_001_006",1.452574,"Body Length","7a9y7249h5igsoo"
"MGI:88587","Cyp19a1","C57BL","Middle aged adult","HRWLLA_CSD_030_001",1.183076,"Tremor","7fnu78h9tfit4f6"
"MGI:1918731","Alpk1","C57BL","Early adult","IMPC_ABR_006_001",1.31147,"12kHz-evoked ABR Threshold","7g9168895i16u01"
"0.8493149","Urea","C57BL","MGI:1920723","Iws1",NA,"7g9880lg07l8170","ESLIM_015_001_002"
"MGI:99502","Ltbp2","C57BL","Early adult","ESLIM_015_001_002",1.380099,"Urea","7h975i5cov8za40"
"Ncoa2","C57BL","Alkaline phosphatase","E18.5","HRWLLA_CBC_014_001",NA,"0.2915892","7jo6gmsdxgogu27"
"Eye","0.7248257","MGI:1915926","C57BL","7sstp3x0806jfq1",NA,"Early adult","Dusp22"
"Early adult","0.2515494","C57BL","MGP_IMM_067_001","MGI:1918319",NA,"Stox2","7v2h29962c041lg"
"MGI:1196234","Ccdc69","C57BL","Early adult","GMC_920_001_013",1.381142,"sTV-active","7waz0fmh870we5j"
"C57BL","0.4902168","Vibrissae","Early adult","Rfc2",NA,"MGP_CSD_068_001","MGI:1341868"
"0.701958","GMC_905_001_006","C57BL","Middle aged adult","MGI:1099431",NA,"816176s92oc232y","Sptlc1"
"Nox1","819q6c42pm1k1g0","0.2848936","IMPC_DXA_010_001","Bone Area",NA,"MGI:2450016","Early adult"
"MGI:3040687","Spag6","C57BL","Early adult","IMPC_CSD_039_001",1.424648,"Limb grasp","83580ph4l4e05g0"
"Late adult","MGI:1099431","Sptlc1","GMC_906_001_021","Uric acid",0.9180821,"83d3m9o93tx30r5","C57BL"
"Lrrtm3","C57BL","Early adult","Iron","MGI:2389177",0.7266829,"840z57gwg2w3ohd","HRWLLA_CBC_011_001"
"Left inner nuclear layer","Early adult","Spata45","0.9470851","C57BL",NA,"846m43t860ur0y3","IMPC_EYE_069_001"
"847ie2v071kpavt","0.6398243","Igfbp6","Early adult","C57BL",NA,"Contact righting","MGI:96441"
"0.08366756","Gtf2h3","Startle response","C57BL","HRWLLA_CSD_036_001",NA,"E12.5","MGI:1277143"
"IMPC_OFD_007_001","C57BL","Whole arena resting time","Early adult","8514r9c208pet00",NA,"0.9394595","Nkiras1"
"MGI:102849","Klkb1","C57BL","Early adult","IMPC_GPP_002_001",1.033602,"Placenta Morphology","8531102zo327176"
"MGI:2444308","Atg4d","C57BL","Early adult","M-G-P_005_001_006",1.437954,"Body Length","8536jvr85qlglmw"
"Elf3","IMPC_ABR_008_001","18kHz-evoked ABR Threshold","0.8986763","MGI:1101781",NA,"Early adult","85tk598fe1r8fpr"
"86onnti80k8y955","MGI:1914243","Smarcd3","C57BL","spina bifida",0.1258734,"IMPC_GEO_043_002","E15.5"
"mgi:1914109","Slc16a9","C57BL","Early adult","M-G-P_005_001_004",1.344161,"Bone Mineral Density (excluding skull)","871280r1valp36g"
"MGI:107576","Sipa1","C57BL","Early adult","IMPC_OFD_010_001",1.154969,"Periphery distance travelled","872jw88nd9v63k1"
"C57BL","MGI:99878","HDL-cholesterol","0.5342042","Ppm1a",NA,"Early adult","IMPC_CBC_016_001"
"MGI:107634","Larp7","C57BL","Early adult","IMPC_HEM_040_001",1.349703,"Large Unstained Cell (LUC) differential count","88b42f501l8w053"
"MGI:1922248","Rab11fip2","C57BL","Early adult","IMPC_HEM_007_001",1.018396,"Mean cell hemoglobin concentration","88gv05v24z69ebj"
"MGI:2143539","Gls2","C57BL","Middle aged adult","IMPC_GEL_063_001",1.04324,"Delayed embryonic development","892a0x3504w97aj"
"MGI:1349438","Mprip","C57BL","E12.5","IMPC_OFD_007_001",1.166994,"Whole arena resting time","8c6ru11s6hs0115"
"MGI:1918946","Abhd8","C57BL","Early adult","JAX_LDT_005_001",1.046693,"Time mobile dark side","8d51z01p69px379"
"C57BL","0.5274198","CD11b-high cDC - % of cDC","E15.5","8e2u7zz1fi9rgmz",NA,"MGI:1925927","Rnf20"
"Early adult","MGI:96441","Neutrophil differential count","Igfbp6","0.6264381",NA,"C57BL","IMPC_HEM_029_001"
"MGI:2143539","Gls2","C57BL","Middle aged adult","IMPC_CBC_006_001",1.086081,"Total protein","8f2i772652bbqdy"
"MGI:2146468","Urb1","C57BL","Early adult","IMPC_HEM_034_001",1.10174,"Monocyte cell count","8g4j986r5b7k903"
"0.5871318","Early adult","8h8eug6363505mh","C57BL","MGI:1913591",NA,"IMPC_CBC_005_001","Eid3"
"Neutrophil differential count","8i33ydbjs40696y","Gm13889","0.2002221","Early adult",NA,"MGI:3652053","C57BL"
"MGI:3037818","Cxcl3","C57BL","Early adult","IMPC_DXA_010_001",1.064201,"Bone Area","8ii18a30s7v6hsd"
"MGI:1929260","Mtch2","C57BL","Early adult","IMPC_GEO_043_002",1.214981,"spina bifida","8it7jvlcs8y0l07"
"PBS Peak Inspiratory Flow","Srbd1","8l6ctp32b37x307","MGI:1925836","C57BL",NA,"0.109965","TCP_CHL_067_001"
"MGI:1351869","Pdxk","C57BL","Early adult","M-G-P_025_001_014",1.308479,"Alanine aminotransferase","8lsw9ex5vs1wb88"
"MGI:2444611","Ipo8","C57BL","Early adult","IMPC_ACS_035_001",1.165627,"% Pre-pulse inhibition - PPI3","8q4mp45ls920322"
"MGI:1349438","0.5597205","C57BL","8sr51z3t0q58q77","Mprip",NA,"ESLIM_008_001_001","Body position"
"E9.5","HRWLLA_CSD_029_001","Mprip","0.7059715","C57BL",NA,"MGI:1349438","Activity (body position)"
"MGI:1918252","Mex3b","C57BL","Early adult","JAXLA_CSD_005_001",1.476884,"Coat - color - back","8v17fuh57zrq099"
"8va622urr53t287","MGI:3037818","Cxcl3","Time mobile light side","0.05916856",NA,"JAX_LDT_003_001","Early adult"
"MGI:2450016","Nox1","C57BL","Early adult","IMPC_XRY_057_001",1.478507,"Kyphosis","8we9y5547hy9xuz"
"MGI:1196295","Ptpn20","C57BL","Early adult","TCP_CHL_057_001",1.200214,"PBS Tidal volume","8x284g0t099pe9z"
"Embryo Size","90191zdm3686861","0.1539121","IMPC_GEL_032_001","Klkb1",NA,"C57BL","MGI:102849"
"MGI:3648212","Middle aged adult","Whole arena resting time","0.2190122","Klhdc7b",NA,"C57BL","HRWLLA_OFD_007_001"
"MGI:2450016","Nox1","Early adult","0.1386134","C57BL",NA,"IMPC_EYE_092_002","910ka87740a8721"
"MGI:107536","Alpha-amylase","9124v04355s68b2","Lgals4","Early adult",NA,"0.2268448","C57BL"
"937ubsmg8888mk9","129SV","Arid4a","HRWLLA_OFD_050_001","MGI:2444354",1.177129,"Early adult","Percentage center movement time"
"0.8983097","IMPC_EYE_027_001","MGI:88587","Cyp19a1","Persistence of hyaloid vascular system",NA,"C57BL","Early adult"
"0.904058","Early adult","MGP_CSD_068_001","Vibrissae","Trim17",NA,"94009lh6d67181c","MGI:1861440"
"Gpr50","Alanine aminotransferase","MGI:1333877","942r50uwk31a5gl","C57BL",0.2830188,"IMPC_CBC_013_001","Early adult"
"Ythdf2","Early adult","0.3368071","C57BL","12kHz-evoked ABR Threshold",NA,"IMPC_ABR_006_001","MGI:2444233"
"MGI:1920723","Iws1","C57BL","E9.5","HRWLLA_HEM_032_001",1.459937,"Lymphocyte cell count","947ly62864tii9f"
"C57BL","MGI:2143539","Late adult","IMPC_XRY_012_001","Gls2",0.6474077,"94y1028qmx62ipl","Pelvis"
"MGI:1918946","Abhd8","C57BL","Early adult","IMPC_GRS_009_001",1.360176,"Forelimb and hindlimb grip strength measurement mean","957p60x28r6f2n5"
"MGI:1914243","Smarcd3","0.9884291","Early adult","TCP_CHL_067_001",NA,"PBS Peak Inspiratory Flow","96032016268hgzd"
"C57BL","Early adult","0.9733702","Ncoa2","IMPC_ACS_035_001",NA,"% Pre-pulse inhibition - PPI3","974qoy80pa2ez7v"
"MGI:1353578","Pttg1","C57BL","Early adult","IMPC_DXA_006_001",1.180619,"Body length","977l8pzk7id3315"
"Lymphocyte differential count","MGI:1913591","Eid3","HRWLLA_HEM_031_001","97g457218qz717j",0.9888343,"C57BL","Early adult"
"MGI:1914815","Gramd2b","C57BL","Middle aged adult","MGP_IMM_101_001",1.181001,"KLRG1+ NK cells - % of CD45+","97n279a85g4ap9a"
"97w347ixtf9l7ft","IMPC_ABR_008_001","18kHz-evoked ABR Threshold","Lzts1","C57BL",0.1850602,"Early adult","MGI:2684762"
"Early adult","MGI:2685335","0.2510652","C57BL","Mctp2",NA,"Mean corpuscular hemoglobin","97zr4w031yvke1d"
"MGI:2446460","Tpte","C57BL","Early adult","IMPC_CSD_023_001",1.428903,"Vibrissae - presence","980126z638bxo93"
"Klhdc7b","Early adult","MGI:3648212","White blood cell count","C57BL",NA,"IMPC_HEM_001_001","0.08775293"
"MGI:1922248","Rab11fip2","C57BL","Early adult","ESLIM_015_001_015",0.3905354,"Alkaline phosphatase","Inf"
"C57BL","0.630585","Forelimb and hindlimb grip strength measurement mean","Early adult","MGI:1925927",NA,"Rnf20","JAXLA_GRS_009_001"
"Early adult","Mean corpuscular hemoglobin","Mid2","0.9686304","IMPC_HEM_006_001",NA,"MGI:1344333","C57BL"
"MGI:3624119","Clec4a4","C57BL","Early adult","IMPC_GEO_009_002",1.162421,"Hemorrhage","9bleha294pus7o4"
"MGI:3037818","Cxcl3","C57BL","Early adult","JAXLA_EYE_016_001",1.274884,"Lens","9buf3wgr291j2g2"
"Basophil differential count","MGI:88587","0.6784028","IMPC_HEM_038_001","9bv770l1696uivk",NA,"Late adult","C57BL"
"MGI:88439","0.5520295","Gait","Early adult","HRWLLA_CSD_033_001",NA,"C57BL","Cntf"
"IMPC_EYE_054_001","9e58qe1n82j2434","C57BL","Cibar1","Early adult",0.6254177,"MGI:1915349","Min left eye lens density"
"Urea","C57BL","Early adult","Gls2","ESLIM_015_001_002",NA,"0.2151415","9g03seri79x7731"
"C57BL","0.7804689","IMPC_HEM_040_001","9g64ybn82v53zvp","Rab12",NA,"Early adult","MGI:894284"
"MGI:1920723","Iws1","C57BL","E9.5","IMPC_ACS_006_001",1.104019,"Response amplitude - S","9guha2bdpa9n64n"
"MGI:1196234","Ccdc69","C57BL","Early adult","ESLIM_015_001_016",1.261373,"Alpha-amylase","9hdsf9xc28810r4"
"Lean/Body weight","0.4536588","C57BL","MGI:1915926","IMPC_DXA_008_001",NA,"Early adult","Dusp22"
"MGI:1920723","Iws1","C57BL","Early adult","IMPC_CBC_023_001",1.335082,"Alpha-amylase","9l94j97hre7m40o"
"MGI:97525","Pde6b","C3H","Early adult","IMPC_XRY_057_001",1.176165,"Kyphosis","9le51q4mqu6yzx1"
"MGI:88587","IMPC_EYE_083_001","Vitreous","0.3229742","C50BL",NA,"Cyp19a1","9mz03fwk34s13gr"
"MGI:2685047","Hmcn1","C57BL","Early adult","IMPC_CBC_018_001",1.108196,"Glucose","9o94rrz77bs6ddf"
"MGI:1925927","Rnf20","C57BL","E15.5","HRWLLA_CSD_036_001",1.081338,"Startle response","9ok055bgf1suf19"
"MGI:1918319","Stox2","C57BL","E18.5","IMPC_OFD_022_001",1.038482,"Percentage center time","9ps7a5rd43nc414"
"C57BL","0.9961648","9r62f239hragi9s","Transitional vertebrae","CCP_XRY_060_001",NA,"MGI:1925927","Rnf20"
"Forelimb and hindlimb grip strength measurement mean","IMPC_GRS_009_001","Plxnc1","0.3899537","C57BL",NA,"MGI:1890127","9sfl53u3r5w141j"
"Early adult","Cntf","MGI:88439","C57BL","0.6229739",NA,"9ux629u30184e5b","% Pre-pulse inhibition - Global"
"MGI:98446","Med22","C57BL","Early adult","ESLIM_015_001_009",1.171322,"Calcium","9v139z09q0vp4n3"
"Early adult","ESLIM_008_001_001","0.4260968","Mex3b","Body position",NA,"MGI:1918252","9v59f5g63ur0o2y"
"9wb50l825387562","MGI:1349438","Mprip","C57BL","0.2740786",NA,"IMPC_HEM_034_001","E15.5"
"mgi:2146785","Gpsm3","C57BL","Early adult","MGP_IMM_066_001",1.363799,"CD11b-high cDC - % of cDC","9x3y9x6cftq400k"
"9xgmy8sqr0oze0r","Arid4a","Early adult","0.2833658","Vocalization",NA,"129SV","MGI:2444354"
"9zc68w8an49b3j6","TCP_CHL_057_001","MGI:97525","0.8586233","Pde6b",NA,"Early adult","C3H"
"Early adult","C57BL","IMPC_CSD_033_001","0.2730852","Gait",NA,"MGI:1922248","Rab11fip2"
"MGI:1276533","Ncoa2","C57BL","E18.5","IMPC_EMA_024_001",1.110924,"Embryo size","a05wpn36o0xk099"
"E9.5","0.5325977","MGI:1099431","PBS Peak Inspiratory Flow","TCP_CHL_067_001",NA,"Sptlc1","a068f36r952xr79"
"MGI:1336186","Agpat3","129SV","Early adult","HRWLLA_HEM_030_001",1.053484,"Neutrophil cell count","a5m80442sl5ndb3"
"MGI:2682314","a6m66z10448t35u","HRWLLA_OFD_018_001","Zc3h4","C57BL",0.7345802,"Early adult","Latency to center entry"
"0.4498373","IMPC_EYE_063_001","Right inner nuclear layer","C57BL","a7oomel720wjqqd",NA,"MGI:1923760","Trappc9"
"Otud4","C57BL","Early adult","MGI:1098801","Hematocrit",NA,"0.1012937","IMPC_HEM_004_001"
"MGI:1932115","Papolb","C57BL","Early adult","HRWLLA_CBC_012_001",1.113676,"Aspartate aminotransferase","am31bstrka20a23"
"MGI:1890127","0.3608542","Plxnc1","C57BL","azba3109x523nai",NA,"IMPC_ABR_006_001","12kHz-evoked ABR Threshold"
"MGI:1913687","Fis1","C57BL","Early adult","IMPC_HEM_006_001",1.259681,"Mean corpuscular hemoglobin","b24w754092k2f79"
"MGI:1099431","Sptlc1","C57BL","E9.5","IMPC_ACS_006_001",1.260029,"Response amplitude - S","b3z84531dwa72k7"
"MGI:1922875","Mageh1","C57BL","Early adult","GMC_905_001_007",1.434742,"Mean corpuscular hemoglobin","b908k0r387ly298"
"C57BL","MGI:1917036","bn3ck0fvvp2uf4o","IMPC_CSD_029_001","Activity (body position)",NA,"E9.5","0.6708674"
"MGI:1915926","Dusp22","C57BL","Early adult","IMPC_EYE_092_001",1.49957,"Retina (combined)","bu3149ua48h32lo"
"MGI:1914281","UPF3A","C57BL","Early adult","IMPC_EYE_017_001",1.219121,"Lens Opacity","bwqq70z0s80x33t"
"0.5733156","Sptlc1","c070tc4dt4262zr","JAX_OFD_020_001","Early adult",NA,"Distance travelled - total","MGI:1099431"
"MGI:98446","Med22","C57BL","Early adult","HRWLLA_HEM_036_001",1.243731,"Eosinophil cell count","c0u1674b4qg0c9r"
"C57BL","CCP_XRY_065_001","c1wa4158g22a7t0","MGI:1914109","0.6852367",NA,"Lumbar processes","Slc16a9"
"MGI:2684916","Ppp1r36","C57BL","Early adult","IMPC_HEM_038_001",1.47442,"Basophil differential count","c28p3k0np305nl0"
"MGI:2685830","Nsl1","C57BL","Early adult","IMPC_IPG_010_001",1.088892,"Fasted blood glucose concentration","c342fe2ph922325"
"IMPC_OFD_050_001","Early adult","C57BL","MGI:3644593","Klhl33",NA,"Percentage center movement time","0.1592578"
"MGI:98446","Med22","C57BL","Early adult","JAXLA_CSD_005_001",1.028305,"Coat - color - back","c5pzqg7cqzcp3to"
"C57BL","Lens Opacity","c9yo700n16omeu2","MGI:1925505","Ralgps2",NA,"IMPC_EYE_017_001","0.7852897"
"MGI:1913591","Eid3","C57BL","Early adult","HRWLLA_HEM_008_001",1.11949,"Platelet count","cb4qw6i04n3eu75"
"C57BL","PBS Tidal volume","Gpsm3","MGI:2146785","TCP_CHL_057_001",NA,"0.6830717","cbi37s82i3x344s"
"MGI:1917036","Tprkb","C57BL","Early adult","TCP_CHL_078_001",1.42361,"12.5 Mch Expiratory time","cj29v9f4q2nf6q0"
"MGI:1196234","Ccdc69","C57BL","Early adult","HRWLLA_CBC_004_001",1.497035,"Urea (Blood Urea Nitrogen - BUN)","cjc1vox495rl9m8"
"MGI:1201374","Anxa8","C57BL","Early adult","IMPC_GPP_002_001",1.416283,"Placenta Morphology","cppxqxf44eewidw"
"IMPC_ABR_006_001","Smarcd3","E15.5","C57BL","MGI:1914243",NA,"cuxp214hzfgn5sk","0.9605773"
"MGI:2146468","Urb1","C57BL","Late adult","ESLIM_011_001_001",1.249001,"BN startle magnitude","cwff2m6188ol0hi"
"MGI:1918731","Alpk1","C57BL","Early adult","IMPC_OFD_022_001",1.002065,"Percentage center time","cyge8l7963k1e9z"
"MGI:1196295","Ptpn20","C57BL","Early adult","JAX_LDT_005_001",1.074389,"Time mobile dark side","d053m82emajwznf"
"Gramd2b","MGI:1914815","d0555lyl4f38kdd","0.06952348","Late adult",NA,"Triglyceride","ESLIM_015_001_018"
"Early adult","0.8524971","C57BL","d12f22999x7m7fz","MGI:99502",NA,"Lean/Body weight","Ltbp2"
"MGI:2655333","Grhl3","C57BL","Early adult","GMC_921_001_002",1.239585,"Body weight","d1352eb2lag473i"
"MGI:1923012","Aftph","C57BL","E18.5","IMPC_GEL_063_001",1.40727,"Delayed embryonic development","d79m48yv08s8t81"
"MGI:98446","Med22","C57BL","Early adult","IMPC_CBC_009_001",1.405256,"Calcium","d7a94r66r3162vz"
"MGI:2143539","Gls2","C57BL","Late adult","IMPC_EYE_026_001",1.367149,"Retinal Blood Vessels Pattern","d9um04l258yeg3t"
"Early adult","Alanine aminotransferase","MGI:2389177","dok4cib4m6m6q6l","Lrrtm3",0.2135417,"C57BL","M-G-P_025_001_014"
"Tprkb","Fructosamine","dpb8ij37bh3634e","C57BL","0.09934849",NA,"IMPC_CBC_020_001","Early adult"
"MGI:96878","Blnk","C57BL","Early adult","TCPLA_CSD_011_001",1.226199,"Coat - hair distribution - back","dvz387klh767392"
"MGI:1277143","Gtf2h3","C57BL","e12.5","HRWLLA_OFD_011_001",1.385022,"Periphery resting time","e26w4q887x0vv9a"
"MGI:1344333","Mid2","C57BL","Early adult","IMPC_CBC_016_001",1.299967,"HDL-cholesterol","e33ow225m32637q"
"0.6945429","MGI:96441","Igfbp6","CCP_XRY_060_001","C57BL",NA,"Transitional vertebrae","e5odinw019h437r"
"MGI:2685830","Nsl1","C57BL","Early adult","IMPC_DXA_006_001",1.047174,"Body length","e7m2d9420013o46"
"MGI:1914243","E12.5","C57BL","IMPC_CSD_028_001","e9730mr3679a73n",NA,"0.7475974","Snout size"
"MGI:1336186","Agpat3","C57BL","Early adult","IMPC_HEM_007_001",1.054471,"Mean cell hemoglobin concentration","e9laa1z85ev380d"
"ESLIM_013_001_001","Early adult","0.1209735","Rfc2","C57BL",NA,"MGI:1341868","edyg76s24839td6"
"C57BL","MGI:1917036","0.9391998","eeifv005132146w","% Pre-pulse inhibition - PPI2",NA,"IMPC_ACS_034_001","Tprkb"
"Whole arena resting time","Lrrtm3","ef6h4t2sj88cgjn","Early adult","C57BL",0.4513554,"IMPC_OFD_007_001","MGI:2389177"
"0.9359377","Hmcn1","C57BL","MGI:2685047","Early adult",NA,"Whole arena average speed","HRWLLA_OFD_009_001"
"MGI:2143539","Gls2","C57BL","Late adult","MGP_CSD_027_001",1.397332,"Ventral coat/hair colour pattern","eh0f8658963ss3g"
"MGI:1344333","Mid2","C57BL","Early adult","IMPC_ACS_034_001",1.399674,"% Pre-pulse inhibition - PPI2","ekwmq97j94g4u47"
"Distance travelled - total","hrwlla_ofd_020_001","C57BL","MGI:2384959","Early adult",NA,"Cybc1","0.3986414"
"Gtf2h3","0.7748074","Eosinophil differential count","MGI:1277143","C57BL",NA,"eoit8o86nw491rq","e9.5"
"MGI:2442782","Baz2b","C57BL","Early adult","IMPC_XRY_055_001",1.325246,"Shape of spine","ep7qoelhp9d0194"
"Rnf20","E12.5","0.6381656","GMC_905_001_007","Mean corpuscular hemoglobin",NA,"eu08ja738b9w0ro","C57BL"
"0.1247244","f0j47o16q4p5hcw","C57BL","Early adult","MGI:1927204",NA,"Gosr2","HRWLLA_CSD_033_001"
"MGI:97525","Pde6b","C3H","Early adult","IMPC_FEA_106_001",1.350608,"Difference in Cue Tone and Cue Baseline % Freezing","f4yd51f5688573u"
"0.9741929","Klkb1","MGI:102849","Early adult","C57BL",NA,"f5bi032wnem9gc6","Distance travelled - total"
"MGI:2442910","Niban2","C57BL","Early adult","M-G-P_025_001_014",1.128169,"Alanine aminotransferase","f91319wg439445m"
"MGI:88587","Cyp19a1","C57BL","Late adult","IMPC_CBC_005_001",1.034183,"Creatinine","f9ve9818zf13v7i"
"C57BL","Early adult","Blnk","MGI:96878","HRWLLA_OFD_011_001",0.3753797,"Periphery resting time","fg6q2wdd83wraim"
"MGI:2138828","Eps8l2","C57BL","Early adult","HRWLLA_OFD_011_001",1.146837,"Periphery resting time","fm62i15v1a706w1"
"MGI:1914243","ftp8l07x428ftm9","HRWLLA_HEM_035_001","Smarcd3","E18.5",NA,"0.2433503","C57BL"
"MGI:1925836","Srbd1","C57BL","Late adult","IMPC_XRY_012_001",1.136786,"Pelvis","fw24263jja3t2mm"
"MGI:2143539","Gls2","C57BL","Late adult","JAXLA_GRS_009_001",1.201741,"Forelimb and hindlimb grip strength measurement mean","fz0p50w0g366l9v"
"0.7581123","Spag6","Early adult","g2n918oe75s6315","HRWLLA_OFD_014_001",NA,"MGI:3040687","Center distance travelled"
"MGI:1913687","Fis1","C57BL","Early adult","IMPC_DXA_009_001",1.424608,"Fat/Body weight","g44xd45a4ig03yg"
"Spleen weight","HRWL_OWT_001_001","0.3990484","MGI:1101781","g4t4381f7orp0zr",NA,"Elf3","Early adult"
"MGI:1341868","Rfc2","C57BL","E9.5","IMPC_CBC_005_001",1.241601,"Creatinine","g61gu728940i267"
"MGI:109552","Il4i1","C57BL","Early adult","IMPC_IPG_012_001",1.035923,"Area under glucose response curve","g74p308at655613"
"MGI:2442910","0.6701725","50 Mch Expiratory time","TCP_CHL_080_001","C57BL",NA,"Early adult","Niban2"
"Early adult","Mean cell volume","IMPC_HEM_005_001","MGI:1914109","0.5997116",NA,"Slc16a9","C57BL"
"MGI:107634","Larp7","C57BL","Early adult","impc_geo_043_002",1.420848,"spina bifida","gi09112zov83fd8"
"MGI:2684916","Ppp1r36","C57BL","Early adult","JAX_LDT_003_001",1.122905,"Time mobile light side","gi175g15v8y1919"
"Mctp2","0.8828007","Early adult","MGI:2685335","gmog3604kw3lyp0",NA,"C57BL","Alkaline phosphatase"
"MGI:1925505","Ralgps2","C57BL","Early adult","GMC_905_001_008",1.401341,"Mean corpuscular hemoglobin concentration","gx55v411k26o8v3"
"MGI:1336186","Agpat3","C57BL","Early adult","HRWLLA_OFD_011_001",1.158458,"Periphery resting time","h0cf4c838d421ed"
"Periphery resting time","IMPC_OFD_011_001","Rnf20","0.1256953","Early adult",NA,"h23244lv80c1d14","C57BL"
"IMPC_CBC_012_001","0.093415","Aspartate aminotransferase","MGI:1349438","E15.5",NA,"C57BL","h740yu1asg2t402"
"Calcium","0.3016689","h7aj1m18h89s735","C57BL","Cntf",NA,"MGI:88439","Early adult"
"MGI:1341868","Rfc2","C57BL","E9.5","IMPC_DXA_003_001",1.456317,"Lean mass","hd39f895089z5yv"
"0.09888159","HRWLLA_HEM_030_001","MGI:1923760","C57BL","hjm8388522u2c99",NA,"Neutrophil cell count","Early adult"
"Phc3","MGI:2181434","0.1948819","hl58w09876h3mt6","Early adult",NA,"Response amplitude - S","IMPC_ACS_006_001"
"MGI:3644593","Klhl33","C57BL","Early adult","JAXLA_GRS_009_001",-0.3590006,"Forelimb and hindlimb grip strength measurement mean","ho9ty7261yrja5r"
"C57BL","hr3z766nqqzlww4","Mex3b","IMPC_GEL_032_001","Embryo Size",NA,"Early adult","0.6000515"
"MGI:104859","Selenbp2","C57BL","Early adult","IMPC_EYE_069_001",1.013447,"Left inner nuclear layer","hsyz26b25452lvo"
"MGI:2146785","Gpsm3","C57BL","Early adult","IMPC_ACS_037_001",-0.393918,"% Pre-pulse inhibition - Global","i56449pfn5gh47t"
"MGI:1925836","Srbd1","C57BL","Early adult","IMPC_CBC_008_001",1.308506,"Total bilirubin","i62e6mlj38jigyr"
"MGI:2138828","Eps8l2","C57BL","Early adult","JAX_OFD_007_001",1.051421,"Whole arena resting time","i8z2e0553u917vz"
"Uric acid","0.2253046","MGI:1914815","GMC_906_001_021","C57BL",NA,"Gramd2b","in439g05f255jkg"
"JAX_OFD_013_001","Periphery average speed","Otud4","C57BL","MGI:1098801",NA,"Early adult","0.2802902"
"MGI:109552","Il4i1","C57BL","Early adult","HRWLLA_CBC_004_001",1.495387,"Urea (Blood Urea Nitrogen - BUN)","ipl7j1ppct4wg8y"
"MGI:1923760","Trappc9","C57BL","Early adult","IMPC_DXA_010_001",-0.4051455,"Bone Area","iq1cd6x361zhz27"
"Gramd2b","iqs251px2vub3q4","IMPC_ACS_037_001","0.6129337","C57BL",NA,"MGI:1914815","Middle aged adult"
"MGI:2181434","Phc3","C57BL","Early adult","IMPC_CBC_016_001",1.117783,"HDL-cholesterol","it5z8i25qj34thf"
"0.8292325","MGI:96878","IMPC_HEM_019_001","Blnk","iwa7v40xle39u08",NA,"Mean platelet volume","C57BL"
"Gtf2h3","0.1415863","JAX_OFD_009_001","MGI:1277143","izkmp67m1k50y5x",NA,"C57BL","Early adult"
"Lens","0.989231","MGI:1338849","JAXLA_EYE_016_001","j012q629f06vzj8",NA,"C57BL","Early adult"
"MGI:2684762","Lzts1","C57BL","Early adult","MGP_CSD_068_001",1.04457,"Vibrissae","j1732t48d678b8w"
"j18cv275e249bw0","Early adult","C57BL","TCPLA_CSD_011_001","Coat - hair distribution - back",NA,"0.7142861","Nsl1"
"IMPC_ECH_011_001","LVIDs","Smarcd3","0.7177977","MGI:1914243",NA,"j34583f2s80wr6x","C57BL"
